更新日期,#genre#
2026-04-15 03:56,https://raw.githubusercontent.com/Lei9008/iptv_api_1/main/pic/Updatetime.mp4
4K超高清,#genre#
CCTV4K,http://fn.tmde.top:35455/nptv/cctv4k.m3u8
CCTV4K,https://hls-gateway.vpstv.net/streams/708821.m3u8
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6124&tk=a0c4f6cfaba3
CCTV4K,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_CCTV-4K-HD
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7103&tk=e640d0a1bf70
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7406&tk=e503191f8e20
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6527&tk=f6cc1e0a0e1a
CCTV4K,http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0389&tk=a0c4f6cfaba3
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9460&tk=b53028476470
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
CCTV4K,http://xc.mfykeke.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
东方4K,http://43.251.226.89:8080/play/926.m3u8
东方4K,http://101.35.240.114:88/live.php?id=东方卫视4K
江苏4K,http://43.251.226.89:8080/play/924.m3u8
江苏4K,http://43.251.226.89:8080/play/925.m3u8
浙江4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江4K,http://43.251.226.89:8080/play/922.m3u8
浙江4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江4K,https://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江4K,http://101.35.240.114:88/live.php?id=浙江卫视4K
浙江4K,http://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江4K,http://43.251.226.89:8080/play/923.m3u8
湖南4K,http://43.251.226.89:8080/play/920.m3u8
湖南4K,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
湖南4K,http://8.138.7.223/tv/api.php?id=hnws4k
