更新日期,#genre#
2026-08-13 23:40,https://txmov2.a.kwimgs.com/upic/2023/06/18/23/BMjAyMzA2MTgyMzE1MjBfMzQ4MzI0MjA1OF8xMDU4Nzc4MzAzNjZfMF8z_b_B386baa1bb2c0c48626a830ff69393771.mp4
4K超高清,#genre#
CCTV4K,webview://https://yangshipin.cn/tv/home?pid=600002264
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k$IPV4•线路9
CCTV4K,http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631$IPV4•线路10
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8$IPV4•线路31
CCTV4K,https://www.nettvpro.xyz/player/videojs.php?url=https://liveop.cctv.cn/hls/4KHD/playlist.m3u8$IPV4•线路1
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
CCTV4K,http://182.135.66.163:1888/rtp/239.94.2.163:5140$IPV4•线路28
CCTV4K,http://47.242.63.189:2203/1234.php?id=8&s=9
CCTV4K,http://182.135.66.163:18888/rtp/239.94.2.163:5140$IPV4•线路26
CCTV4K,http://67.220.71.199:2347/livehttpplay?channel_id=30029$IPV4•线路11
CCTV4K,http://171.213.234.216:8089/rtp/239.93.42.42:5140$IPV4•线路4
CCTV4K,http://58.63.66.57:8888/rtp/239.77.1.180:5146
CCTV4K,http://183.30.201.121:10002/rtp/239.77.1.180:5146
CCTV4K,http://218.81.49.34:10010/rtp/233.18.204.204:5140
CCTV4K,http://182.135.66.163:1888/rtp/239.94.2.163:5140
CCTV4K,http://113.95.132.166:554/rtp/239.77.0.194:5146
CCTV4K,http://182.135.66.163:18888/rtp/239.94.0.20:5140
CCTV4K,http://101.35.240.114:88/live.php?id=CCTV4K
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8$IPV4•线路1
CCTV4K,rtp://239.3.1.245:2000
CCTV4K,http://116.233.67.80:8899/rtp/233.18.204.204:5140$IPV4•线路24
CCTV4K,http://115.29.208.41:29995/180000001002/32023092211020848462000290559536/1.m3u8
